OBU_ID,DESTINATION_LINK_ID,ORIGIN_LINK_ID,CONDITION
610134,1002415,8893266,4
610134,8891005,1068071,4
610134,5101998,1003430,4
610134,8893552,8893551,2
610134,1086081,7106887,4
610134,1018756,8103434,4
610134,1080008,8892115,4
610134,8110310,8895130,4
610134,1011943,8897986,4
610134,1093913,1076575,4
610134,8893932,8892593,4
610134,1085896,1064316,4
610134,1085896,1064316,4
610134,1068111,5102009,4
610134,1034033,1010566,4
610134,1094003,8898355,4
610134,1083203,8104277,4
610134,8899182,1067281,4
610134,1086126,1081857,4
610134,1038114,8894140,1
610134,8894140,1011552,4
610134,1068813,8894583,4
610134,8897079,1064558,4
610134,1064734,1079993,4
610134,8896048,1039086,4
610134,8896823,1085949,4
610134,1028874,8192100,4
610134,8193510,1092345,4
610134,1037503,1029552,4
610134,8893270,8897895,4
610134,1079275,1019336,1
610134,1079275,1019336,1
610134,8897895,1065568,4
610134,1018256,1035487,4
610134,1035301,8900109,4
610134,8897827,8890928,4
610134,1075382,8409010,4
610134,8894382,8893568,4
610134,8893096,1060874,4
610134,1060769,1038828,4
610134,1083846,1059398,4
610134,1087637,1063957,4
610134,8100974,8100970,2
610134,1097147,1094285,4
610134,1018937,1044243,4
610134,1049958,1007156,4
610134,1024919,8891933,4
610134,1008364,1008372,1
610134,1086247,1037494,4
610134,8895301,1006667,4
610134,8895301,1006667,4
610134,1077648,1021204,4
610134,1021204,1021203,1
610134,1021161,1021158,1
610134,1020927,1086125,4
610134,8893567,8893567,1
610134,8890676,8571775,4
610134,1074032,8898170,4
610134,8894549,8894550,2
610134,1050791,1010566,4
610134,1096067,1086126,4
610134,1004824,1089383,4
610134,1089410,1072269,4
610134,1054238,1072761,4
610134,8605710,1011055,4
610134,1011707,1011705,1
610134,8899444,8895987,4
610134,8891605,1025097,4
610134,1077470,1010566,4
610134,8609110,8895572,4
610134,8893845,8891893,4
610134,1095122,1084212,4
610134,8106896,5104210,4
610134,1058537,8891627,4
610134,1077001,1021203,4
610134,1020921,8899234,4
610134,8102218,5104452,4
610134,1058609,8572029,4
610134,8893145,8897456,4
610134,1035045,1086345,4
610134,1020921,1086170,4
610134,1086170,1086171,1
610134,8182200,8182200,1
610134,8181100,8181100,2
610134,1005888,1005823,1
610134,1005697,1005694,2
610134,1067218,1067218,1
610134,1094670,1033948,4
610134,1008565,1076739,2
610134,1076860,1050017,4
610134,1097058,1068070,4
610134,1068060,1068058,1
610134,1068067,1028499,4
610134,8131400,8894652,4
610134,8191210,1032876,4
610134,8102390,1087485,4
610134,1057797,1061763,4
610134,1090839,1083895,4
610134,1081888,1081884,2
610134,1081888,8191210,4
610134,1068958,1097644,4
610134,8891866,1081884,4
610134,1081891,1081901,1
610134,1081899,1081883,2
610134,1081891,1033788,4
610134,8898056,1035303,4
610134,8896850,1049864,4
610134,1087464,1087465,2
610134,1049863,8104277,4
610134,8897030,1086126,4
610134,1067495,8898339,4
610134,1080149,1076739,4
610134,1076739,1008565,1
610134,1008565,1076739,2
610134,1076739,1008565,2
610134,1008565,1076739,1
610134,1076739,1076739,1
610134,1076739,1076739,1
610134,1076739,1076739,2
610134,1076739,1076739,2
610134,1076739,1076739,1
610134,1076739,1076739,1
610134,1076739,1076739,1
610134,1076739,1076739,1
610134,1076739,1014880,4
610134,8899534,1065935,4
610134,8894016,8896824,4
610134,8892115,1004975,4
610134,1067344,1014040,4
610134,1091377,8632410,4
610135,8898181,8898182,1
610135,1030966,1030961,1
610135,1092078,7108678,4
610135,8898574,1011508,4
610135,8898413,8893624,4
610135,5102740,1068035,4
610135,1067847,1069376,4
610135,1012202,8895141,4
610135,1095946,8893294,4
610135,8897674,8894494,4
610135,1088777,1075952,4
610135,8899105,1079948,4
610135,8898347,8898347,1
610135,1086126,8893463,4
610135,7108788,7108788,2
610135,1012636,8899224,4
610135,1015810,1015872,2
610135,1083080,1045030,4
610135,8892365,1021478,1
610135,1020928,8892098,4
610135,7107469,8891082,4
610135,8896084,8892005,1
610135,1087158,1021203,4
610135,1021180,1021179,1
610135,1021218,8893446,4
610135,1011942,1078504,4
610135,1020899,8890668,4
610135,1004598,8892732,4
610135,8898057,1011705,4
610135,8898057,1011705,2
610135,1069186,1044250,4
610135,8891540,8369310,4
610135,8891540,8369310,1
610135,8369310,1085927,4
610135,1080008,8892491,4
610135,8892492,8891085,4
610135,8891794,1040389,4
610135,8893883,8892575,4
610135,8892576,8895017,4
610135,1008057,1060568,4
610135,1071534,1071566,1
610135,1060701,1058602,4
610135,1073859,8895042,4
610135,8296910,8296900,2
610135,8297800,7108711,4
610135,1031850,1094354,4
610135,1028630,8898517,4
610135,8571868,8894346,4
610135,8105259,1059401,4
610135,1090828,8891430,4
610135,1013281,1096053,4
610135,7108747,7108747,2
610135,1031546,1087986,4
610135,8191210,1011273,4
610135,1011060,1011692,1
610135,1011273,1078850,4
610135,8891335,1083183,4
610135,8895240,8894410,4
610135,8891450,8891444,2
610135,1020984,1084514,4
610135,1011336,1086625,4
610135,8897820,5104211,4
610135,1058537,1011943,4
610135,1081127,1077240,4
610135,1078723,1047688,4
610135,8107250,1036979,4
610135,1037223,1095334,4
610135,1088419,1033661,4
610135,1089345,1068082,4
610135,1059384,1068112,1
610135,1064316,1064316,1
610135,5101998,1029334,4
610135,1097307,8611600,4
610135,1032105,1032109,1
610135,8892179,1093314,1
610135,8894789,8894789,1
610135,1055766,1088955,4
610135,1091031,1079562,4
610135,8893847,8897828,4
610135,1000076,1047668,4
610135,8571614,1079840,4
610135,8897815,8898347,4
610135,1008449,1073296,4
610135,8898457,8898458,1
610135,1086526,1086526,2
610135,8894246,8894824,4
610135,1029643,1014179,4
610135,1014460,1086108,4
610135,1086121,8896217,4
610135,8898617,8891434,4
610135,1021147,1015286,4
610135,8899181,8899181,2
610135,1089450,1086114,4
610135,1087605,1013973,4
610135,1031546,1039168,4
610135,1039167,8106417,4
610135,1090331,1087713,4
610135,1044667,1074612,2
610135,1044118,1081884,4
610135,8894133,8605710,4
610135,1076239,1086108,4
610135,1086121,1047071,4
610135,8102005,8571749,1
610135,8897337,1005163,4
610135,1067209,1038387,4
610135,8897894,1075958,4
610135,1075958,1075942,2
610135,1075963,8264800,3
610135,8898997,8893910,4
610135,1069410,1030907,4
610135,8895641,1076495,4
610135,5103526,1030240,4
610135,1076412,8110310,4
610135,8110210,1075249,4
610135,1080008,1069370,4
610135,1083094,1089485,4
610135,1088498,1096417,4
610135,1068070,8898116,4
610135,1058454,8894913,4
610135,8895169,1071124,4
610135,8893505,1010566,4
610135,1030025,8898346,4
610135,1009596,1085734,2
610135,1009596,1085734,2
610135,1076827,1076758,4
610135,1097850,1059947,4
610135,1059942,1068137,1
610136,1016283,8896104,4
610136,1043824,8895210,4
610136,8101829,8895850,4
610136,8895850,8894562,1
610136,8894562,1085394,4
610136,8896797,8896797,2
610136,1085395,8891866,4
610136,8894294,1085285,4
610136,1076485,5104211,2
610136,1076485,5104211,4
610136,1059579,8890681,4
610136,8893562,8896323,4
610136,8896324,7108049,4
610136,1086345,8896019,4
610136,8894550,8894549,1
610136,8896012,8892572,4
610136,1092822,1049436,4
610136,8898169,8893883,4
610136,8900865,1018830,4
610136,1019105,8896461,4
610136,8895217,1012200,4
610136,8898356,8900747,4
610136,8898919,8898918,1
610136,8900747,1096330,4
610136,8893713,7108663,4
610136,8893554,1021010,4
610136,1078632,1071086,4
610136,1041054,8891711,4
610136,8896988,1084801,4
610136,8899457,1082170,4
610136,1096054,1074883,4
610136,1074916,1020415,4
610136,1086345,1077446,4
610136,8891430,1094525,4
610136,1086762,1066198,2
610136,8898298,8898297,1
610136,1080008,8892931,4
610136,1059893,7108401,4
610136,8888169,1037356,4
610136,1086401,1067635,4
610136,1067330,7105593,4
610136,1007833,1091390,4
610136,8892012,8891985,3
610136,8892572,1018916,4
610136,1018900,1096483,2
610136,1018890,1018914,1
610136,8893805,8893804,1
610136,1094953,1094953,1
610136,1018916,1029741,4
610136,8891987,1075952,4
610136,1085320,1037478,4
610136,8194300,8898919,4
610136,8893518,8894615,4
610136,8103435,8898532,4
610136,1088179,8895167,4
610136,1039263,1055893,4
610136,1035301,1040703,4
610136,1040234,8892440,4
610136,7109140,7109140,2
610136,1044488,1044486,2
610136,1073139,1050127,1
610136,8629901,8897943,4
610136,1040394,1079935,4
610136,5104098,8274500,2
610136,1079945,1029733,4
610136,1029754,8890795,4
610136,8890795,8890795,1
610136,8890746,8890747,1
610136,1008219,8897457,4
610136,7107584,8572018,4
610136,1047692,1096089,4
610136,8105326,8893884,4
