LINK_ID,AVG_DAILY_TOTAL_COUNT,MAX_DAILY_TRAFFIC,PERCENTILE
1044541,1.1538461538461537,3,0.00
1044542,1.4794520547945205,4,0.00
1044543,3.3130434782608695,7,0.00
1044544,6.418032786885246,15,0.00
1044545,1.0,1,0.00
1044546,1.0,1,0.00
1044547,4.739495798319328,13,0.00
1044548,3.3130434782608695,7,0.00
1044551,1.0,1,0.00
1044552,2.074766355140187,4,0.00
1044553,1.25,2,0.00
1044554,1.2916666666666667,3,0.00
1044555,2.1904761904761907,7,0.00
1044556,1.0,1,0.00
1044557,1.2857142857142858,4,0.00
1044558,35.22950819672131,62,0.01
1044559,3.5545454545454547,10,0.00
1044560,1.4545454545454546,4,0.00
1044563,1.0689655172413792,3,0.00
1044564,1.7011494252873562,4,0.00
1044565,3.452830188679245,8,0.00
1044566,1.0,1,0.00
1044567,1.0,1,0.00
1044568,1.3488372093023255,3,0.00
1044569,3.0530973451327434,8,0.00
1044570,1.0,1,0.00
1044571,1.3137254901960784,3,0.00
1044575,1.0,1,0.00
1044576,1.0,1,0.00
1044577,1.2727272727272727,2,0.00
1044579,1.0,1,0.00
1044580,1.0,1,0.00
1044582,1.6666666666666667,3,0.00
1044587,80.52459016393442,129,0.02
1044588,1.0714285714285714,2,0.00
1044589,60.28688524590164,94,0.01
1044590,548.7540983606557,800,0.11
1044591,1.21875,3,0.00
1044592,1.744186046511628,5,0.00
1044593,4.831932773109243,16,0.00
1044594,11.032786885245901,25,0.00
1044595,1.2352941176470589,2,0.00
1044596,564.139344262295,838,0.12
1044597,3.9292035398230087,12,0.00
1044598,526.6967213114754,782,0.11
1044599,16.19672131147541,32,0.00
1044600,566.8360655737705,839,0.12
1044601,529.8852459016393,776,0.11
1044602,1.173913043478261,2,0.00
1044603,536.6229508196722,786,0.11
1044604,1.2105263157894737,3,0.00
1044606,15.180327868852459,27,0.00
1044607,1.3650793650793651,2,0.00
1044608,1.0,1,0.00
1044609,1.4583333333333333,4,0.00
1044610,15.459016393442623,28,0.00
1044611,1.0,1,0.00
1044612,513.8524590163935,773,0.11
1044613,12.418032786885245,25,0.00
